Gebieden,onderwerpen,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Antwerpen,Aantal leerlingen basisonderwijs,17754,17968,18197,18518,18596,19071,18880,20051,20684,21412
Antwerpen,Aandeel inwoners dat basisonderwijs volgt,10.6136601,10.7200601,10.7289836,10.8294298,10.7503758,10.9098086,10.6247081,11.2270152,11.3341955,11.2355306
Antwerpen,Aantal leerlingen basisonderwijs - jongens,8903,9004,9091,9225,9259,9414,9254,9847,10243,10610
Antwerpen,Aantal leerlingen basisonderwijs - meisjes,8851,8964,9106,9293,9337,9657,9626,10204,10441,10802
Antwerpen,Aantal leerlingen basisonderwijs - school buiten Antwerpen,662,621,627,663,677,657,568,638,659,679
Antwerpen,Aantal leerlingen basisonderwijs - school binnen Antwerpen,17092,17347,17570,17855,17919,18414,18312,19413,20025,20733
Antwerpen,Leerlingen basisonderwijs - percentage jongens,50.1464459,50.111309,49.9587844,49.8163949,49.7902775,49.362907,49.0148305,49.1097701,49.5213692,49.5516533
Antwerpen,Leerlingen basisonderwijs - percentage meisjes,49.8535541,49.888691,50.0412156,50.1836051,50.2097225,50.637093,50.9851695,50.8902299,50.4786308,50.4483467
Antwerpen,Leerlingen basisonderwijs - percentage school buiten Antwerpen,3.7287372,3.4561443,3.4456229,3.5803002,3.6405679,3.4450212,3.0084746,3.1818862,3.1860375,3.171119
Antwerpen,Leerlingen basisonderwijs - percentage school binnen Antwerpen,96.2712628,96.5438557,96.5543771,96.4196998,96.3594321,96.5549788,96.9915254,96.8181138,96.8139625,96.828881
Antwerpen,Aantal leerlingen gewoon kleuteronderwijs,6864,6948,7081,7365,7408,7775,7795,8429,8755,8978
Antwerpen,Aantal leerlingen buitengewoon kleuteronderwijs,68,67,82,78,70,78,75,68,58,72
Antwerpen,Aantal leerlingen kleuteronderwijs totaal,6932,7015,7163,7443,7478,7853,7870,8497,8813,9050
Antwerpen,Leerlingen basisonderwijs - percentage gewoon kleuteronderwijs,38.66171,38.6687444,38.9130076,39.7721136,39.836524,40.7687064,41.2870763,42.0378036,42.3274028,41.929759
Antwerpen,Leerlingen basisonderwijs - percentage buitengewoon kleuteronderwijs,0.3830123,0.3728851,0.4506237,0.4212118,0.376425,0.408998,0.3972458,0.3391352,0.28041,0.33626
Antwerpen,Leerlingen basisonderwijs - percentage kleuteronderwijs totaal,39.0447223,39.0416296,39.3636314,40.1933254,40.212949,41.1777044,41.684322,42.3769388,42.6078128,42.2660191
Antwerpen,Aantal leerlingen gewoon lager onderwijs,9918,10078,10153,10191,10239,10354,10139,10659,10966,11453
Antwerpen,Aantal leerlingen buitengewoon lager onderwijs,904,875,881,884,879,864,871,895,905,909
Antwerpen,Aantal leerlingen lager onderwijs totaal,10822,10953,11034,11075,11118,11218,11010,11554,11871,12362
Antwerpen,Leerlingen basisonderwijs - percentage gewoon lager onderwijs,55.8634674,56.088602,55.7949112,55.0329409,55.060228,54.2918567,53.7023305,53.1594434,53.0168246,53.4886979
Antwerpen,Leerlingen basisonderwijs - percentage buitengewoon lager onderwijs,5.0918103,4.8697685,4.8414574,4.7737337,4.726823,4.5304389,4.6133475,4.4636178,4.3753626,4.245283
